>Name|>Nombre
>Patient ID|>ID del paciente
>Birthdate|>Fecha de nacimiento
>Sample ID|>ID de la muestra
>Secondary ID|>ID secundaria
>Sample Date|>Fecha de ingreso
>Report Date|>Fecha de entrega
>Patient Details|>Información del paciente
>Test Details|>Información del ensayo
>Physician Details|>Información del médico
>For research use only|>Para uso exclusivo en investigación
>HIV Resistance Genotype report|>Informe del genotipo de la resistencia del VIH
>Lamivudine|>Lamivudina
>Abacavir|>Abacavir
>Zidovudine|>Zidovudina
>Stavudine|>Estavudina
>Didanosine|>Didanosina
>Emtricitabine|>Emtricitabina
>Tenofovir|>Tenofovir
>Delavirdine|>Delavirdina
>Efavirenz|>Efavirenz
>Etravirine|>Etravirina
>Nevirapine|>Nevirapina
>Enfuvirtide|>Enfuvirtida
>Atazanavir|>Atazanavir
>Darunavir|>Darunavir
>Fosamprenavir|>Fosamprenavir
>Indinavir|>Indinavir
>Lopinavir|>Lopinavir
>Nelfinavir|>Nelfinavir
>Saquinavir|>Saquinavir
>Tipranavir|>Tipranavir
>Elvitegravir|>Elvitegravir
>Raltegravir|>Raltegravir
>Maraviroc|>Maraviroc
>V3 Loop Tropism|>Tropismo del lazo V3
>Susceptible|>Susceptible
>Low-level resistance|>Bajo nivel de resistencia
>Intermediate resistance|>Resistencia intermedia
>High-level resistance|>Alto nivel de resistencia
>Resistance Call|>Interpretación
>Resistant|>Resistente
>Resistance|>Resistente
>Possible resistance|>Posibilidad de resistencia
>Inferred Amino Acid Sequence|>Secuencia de aminoácidos deducida
>Not Susceptible|>No susceptible
>Non-R5|>No-R5
>Tropism:|>Tropismo:
>Specimens with a geno2pheno false positive rate above|>Las muestras con un porcentaje de falsos positivos de geno2pheno arriba de
 are considered R5, while those below| son consideradas R5, mientras que las que están abajo de
 are considered non-R5.| no se consideran R5 (No-R5).
>Sequence quality was not sufficient to obtain a result|>La calidad de la secuencia fue inconclusa para obtener un resultado
Email:|Correo electrónico:
>Date Printed|>Fecha de impresión
>Version|>Versión
, modified on|, Fecha de modificación
